record_id,date_time,city_zone,station_type,vehicles_charged,avg_charging_duration_minutes,energy_dispensed_kwh,grid_load_mw,renewable_energy_used_percent,peak_load_risk,hour,day_name,month,date,is_weekend,energy_per_vehicle,veh_z,energy_z,demand_score
61,2024-01-03 12:00:00,South,Fast,15,84.0,89.52,319.01,50.8,Medium,12,Wednesday,January,2024-01-03,0,5.968,0.36230949701802884,-0.9022533614914325,-0.14351564638575573
62,2024-01-03 13:00:00,South,Normal,9,62.2,70.72,106.56,11.6,High,13,Wednesday,January,2024-01-03,0,7.857777777777778,-0.5027842423087028,-1.0921858124528496,-0.7385448703663615
63,2024-01-03 14:00:00,South,Fast,15,29.0,250.11,286.6,49.6,Medium,14,Wednesday,January,2024-01-03,0,16.674,0.36230949701802884,0.7201536757369705,0.5054471685056056
64,2024-01-03 15:00:00,East,Fast,6,111.1,158.26,495.78,70.5,High,15,Wednesday,January,2024-01-03,0,26.376666666666665,-0.9353311119720685,-0.20778758068888936,-0.6443136994587968
65,2024-01-03 16:00:00,West,Fast,4,51.5,312.47,129.6,17.9,Low,16,Wednesday,January,2024-01-03,0,78.1175,-1.2236956917476458,1.3501636566919692,-0.19415195237179983
66,2024-01-03 17:00:00,East,Normal,21,105.2,167.6,289.29,33.2,Low,17,Wednesday,January,2024-01-03,0,7.980952380952381,1.2274032363447605,-0.11342752260486613,0.6910709327649098
67,2024-01-03 18:00:00,East,Fast,9,18.3,46.86,182.76,51.0,Medium,18,Wednesday,January,2024-01-03,0,5.206666666666667,-0.5027842423087028,-1.3332383805347334,-0.834965897599115
68,2024-01-03 19:00:00,West,Fast,9,56.8,19.24,226.85,10.2,Medium,19,Wednesday,January,2024-01-03,0,2.1377777777777776,-0.5027842423087028,-1.6122774388089003,-0.9465815209087818
69,2024-01-03 20:00:00,West,Normal,7,98.7,19.61,321.35,34.6,Low,20,Wednesday,January,2024-01-03,0,2.801428571428571,-0.79114882208428,-1.6085394065293406,-1.1181050558623042
70,2024-01-03 21:00:00,East,Normal,2,30.5,239.73,396.43,37.4,Medium,21,Wednesday,January,2024-01-03,0,119.865,-1.512060271523223,0.6152867161104006,-0.6611214764697735
71,2024-01-03 22:00:00,North,Supercharger,9,21.7,11.86,267.85,58.7,Low,22,Wednesday,January,2024-01-03,0,1.3177777777777777,-0.5027842423087028,-1.6868360286012014,-0.9764049568257023
72,2024-01-03 23:00:00,Central,Fast,8,46.3,297.24,219.65,49.7,High,23,Wednesday,January,2024-01-03,0,37.155,-0.6469665321964914,1.1962981658333316,0.09033934701543783
73,2024-01-04 00:00:00,West,Fast,20,90.1,187.07,457.75,81.4,Low,0,Thursday,January,2024-01-04,0,9.3535,1.0832209464569718,0.08327379761953764,0.6832420869219982
74,2024-01-04 01:00:00,South,Normal,5,57.7,138.66,499.97,59.0,Medium,1,Thursday,January,2024-01-04,0,27.732,-1.0795134018598571,-0.4058022636061114,-0.8100289465583589
75,2024-01-04 02:00:00,South,Fast,8,79.1,193.48,396.53,52.2,Medium,2,Thursday,January,2024-01-04,0,24.185,-0.6469665321964914,0.14803268116542503,-0.3289668468517248
76,2024-01-04 03:00:00,Central,Fast,18,88.2,236.98,248.32,19.7,Low,3,Thursday,January,2024-01-04,0,13.165555555555555,0.7948563666813946,0.587504043762321,0.7119154375137652
77,2024-01-04 04:00:00,West,Normal,17,23.5,98.13,315.2,39.7,Medium,4,Thursday,January,2024-01-04,0,5.772352941176471,0.650674076793606,-0.8152683400670814,0.06429711004933103
78,2024-01-04 05:00:00,Central,Fast,9,32.2,324.47,279.89,34.8,Low,5,Thursday,January,2024-01-04,0,36.05222222222223,-0.5027842423087028,1.4713971360290439,0.28688830902639595
79,2024-01-04 06:00:00,Central,Fast,19,55.6,69.94,499.96,65.0,Low,6,Thursday,January,2024-01-04,0,3.681052631578947,0.9390386565691832,-1.1000659886097595,0.12339679849760604
80,2024-01-04 07:00:00,Central,Supercharger,1,37.2,53.48,421.72,79.6,Low,7,Thursday,January,2024-01-04,0,53.48,-1.6562425614110114,-1.266357911100447,-1.5002887012867858
81,2024-01-04 08:00:00,West,Supercharger,9,88.3,222.99,344.44,52.7,High,8,Thursday,January,2024-01-04,0,24.776666666666667,-0.5027842423087028,0.44616601243518156,-0.12320414041114902
82,2024-01-04 09:00:00,West,Normal,9,46.2,257.52,493.93,37.4,Medium,9,Thursday,January,2024-01-04,0,28.61333333333333,-0.5027842423087028,0.7950153492276139,0.01633559430582393
83,2024-01-04 10:00:00,North,Normal,12,81.3,157.77,70.12,25.5,Low,10,Thursday,January,2024-01-04,0,13.1475,-0.07023737264533694,-0.2127379477618197,-0.12723760269193005
84,2024-01-04 11:00:00,Central,Normal,9,89.3,193.6,230.55,83.8,Medium,11,Thursday,January,2024-01-04,0,21.51111111111111,-0.5027842423087028,0.14924501595879583,-0.24197253900170332
85,2024-01-04 12:00:00,West,Normal,6,94.9,155.25,160.04,23.1,Low,12,Thursday,January,2024-01-04,0,25.875,-0.9353311119720685,-0.2381969784226055,-0.6564774585522832
86,2024-01-04 13:00:00,North,Fast,12,101.9,128.02,304.11,83.7,Low,13,Thursday,January,2024-01-04,0,10.668333333333335,-0.07023737264533694,-0.5132959486183175,-0.24746080303452916
87,2024-01-04 14:00:00,East,Normal,14,84.5,282.48,270.02,22.2,Low,14,Thursday,January,2024-01-04,0,20.177142857142858,0.21812720713024025,1.0471809862487298,0.5497487187776361
88,2024-01-04 15:00:00,East,Normal,5,51.6,318.82,93.88,11.3,Low,15,Thursday,January,2024-01-04,0,63.763999999999996,-1.0795134018598571,1.414316372841171,-0.08198149197944593
89,2024-01-04 16:00:00,West,Fast,15,18.2,98.54,145.18,57.0,Low,16,Thursday,January,2024-01-04,0,6.569333333333334,0.36230949701802884,-0.8111261961897313,-0.10706478026507524
90,2024-01-04 17:00:00,East,Supercharger,23,47.3,335.57,311.04,38.2,Low,17,Thursday,January,2024-01-04,0,14.59,1.5157678161203376,1.5835381044158376,1.5428759314385376
91,2024-01-04 18:00:00,West,Supercharger,19,89.2,219.9,266.44,54.4,High,18,Thursday,January,2024-01-04,0,11.573684210526316,0.9390386565691832,0.4149483915058848,0.7294025505438638
92,2024-01-04 19:00:00,Central,Normal,21,117.3,133.84,248.01,26.9,Low,19,Thursday,January,2024-01-04,0,6.373333333333333,1.2274032363447605,-0.45449771113983634,0.5546428573509218
93,2024-01-04 20:00:00,Central,Normal,16,18.7,275.27,333.3,70.2,Low,20,Thursday,January,2024-01-04,0,17.204375,0.5064917869058174,0.974339870747037,0.6936310204423053
94,2024-01-04 21:00:00,North,Normal,16,35.2,339.36,376.72,10.2,Low,21,Thursday,January,2024-01-04,0,21.21,0.5064917869058174,1.621827678306464,0.9526261434660761
95,2024-01-04 22:00:00,Central,Fast,3,28.3,191.36,132.3,48.4,High,22,Thursday,January,2024-01-04,0,63.78666666666667,-1.3678779816354343,0.12661476648254208,-0.7700808823882437
96,2024-01-04 23:00:00,West,Supercharger,9,28.6,341.47,99.05,70.6,Low,23,Thursday,January,2024-01-04,0,37.94111111111111,-0.5027842423087028,1.6431445650899,0.3555872806507384
97,2024-01-05 00:00:00,South,Normal,4,35.1,323.72,427.18,56.0,Low,0,Friday,January,2024-01-05,0,80.93,-1.2236956917476458,1.4638200435704767,-0.1486893976203968
98,2024-01-05 01:00:00,East,Fast,15,67.3,181.65,468.01,37.8,High,1,Friday,January,2024-01-05,0,12.110000000000001,0.36230949701802884,0.028516676118959007,0.2287923686584009
99,2024-01-05 02:00:00,Central,Fast,1,55.0,16.66,372.35,81.6,Medium,2,Friday,January,2024-01-05,0,16.66,-1.6562425614110114,-1.6383426368663714,-1.6490825915931553
100,2024-01-05 03:00:00,Central,Fast,14,116.7,151.98,202.4,46.1,High,3,Friday,January,2024-01-05,0,10.855714285714285,0.21812720713024025,-0.2712331015419585,0.022383083661360728
101,2024-01-05 04:00:00,South,Supercharger,17,17.0,200.85,245.17,33.9,Medium,4,Friday,January,2024-01-05,0,11.814705882352941,0.650674076793606,0.2224902430582785,0.479400543299475
102,2024-01-05 05:00:00,South,Normal,3,103.4,31.28,102.6,50.1,Medium,5,Friday,January,2024-01-05,0,10.426666666666668,-1.3678779816354343,-1.4906398478740353,-1.4169827281308747
103,2024-01-05 06:00:00,East,Normal,8,74.8,29.4,297.78,34.4,Low,6,Friday,January,2024-01-05,0,3.675,-0.6469665321964914,-1.509633092970177,-0.9920331565059657
104,2024-01-05 07:00:00,North,Fast,6,40.9,29.29,277.54,34.1,Low,7,Friday,January,2024-01-05,0,4.881666666666667,-0.9353311119720685,-1.5107443998641004,-1.1654964271288812
105,2024-01-05 08:00:00,Central,Normal,4,99.7,32.47,312.43,38.6,High,8,Friday,January,2024-01-05,0,8.1175,-1.2236956917476458,-1.4786175278397753,-1.3256644261844976
106,2024-01-05 09:00:00,East,Normal,14,114.8,334.25,453.25,7.7,High,9,Friday,January,2024-01-05,0,23.875,0.21812720713024025,1.5702024216887596,0.758957292953648
107,2024-01-05 10:00:00,Central,Fast,6,15.8,326.3,387.76,79.8,Low,10,Friday,January,2024-01-05,0,54.38333333333333,-0.9353311119720685,1.4898852416279478,0.03475542946793808
108,2024-01-05 11:00:00,North,Normal,18,116.6,49.28,164.12,44.9,Low,11,Friday,January,2024-01-05,0,2.7377777777777776,0.7948563666813946,-1.308789628868423,-0.046602031538532485
109,2024-01-05 12:00:00,East,Normal,2,21.2,264.14,70.19,23.9,Low,12,Friday,January,2024-01-05,0,132.07,-1.512060271523223,0.8618958186619002,-0.5624778354491736
110,2024-01-05 13:00:00,West,Normal,3,28.4,158.61,336.5,46.8,Low,13,Friday,January,2024-01-05,0,52.870000000000005,-1.3678779816354343,-0.20425160420822444,-0.9024274306645503
111,2024-01-05 14:00:00,East,Supercharger,13,55.1,57.9,84.28,11.8,Medium,14,Friday,January,2024-01-05,0,4.453846153846154,0.07394491724245165,-1.2217035795446245,-0.44431448147237884
112,2024-01-05 15:00:00,Central,Fast,2,28.5,302.17,275.9,56.2,Medium,15,Friday,January,2024-01-05,0,151.085,-1.512060271523223,1.24610492026098,-0.4087941948095417
113,2024-01-05 16:00:00,South,Normal,24,43.5,238.19,112.69,24.6,High,16,Friday,January,2024-01-05,0,9.924583333333333,1.659950106008126,0.5997284195954762,1.235861431443066
114,2024-01-05 17:00:00,East,Fast,16,79.6,270.91,290.04,45.6,Medium,17,Friday,January,2024-01-05,0,16.931875,0.5064917869058174,0.9302917065879003,0.6760117547786506
115,2024-01-05 18:00:00,South,Supercharger,20,104.9,83.93,486.12,68.2,Medium,18,Friday,January,2024-01-05,0,4.1965,1.0832209464569718,-0.9587279572826197,0.2664413849611352
116,2024-01-05 19:00:00,South,Fast,4,39.7,194.1,280.21,29.7,Low,19,Friday,January,2024-01-05,0,48.525,-1.2236956917476458,0.15429641093117394,-0.6724988506761179
117,2024-01-05 20:00:00,Central,Supercharger,14,105.2,274.87,249.71,33.2,Medium,20,Friday,January,2024-01-05,0,19.63357142857143,0.21812720713024025,0.9702987547691347,0.5189958261857981
118,2024-01-05 21:00:00,South,Normal,15,113.1,256.56,391.19,64.9,Medium,21,Friday,January,2024-01-05,0,17.104,0.36230949701802884,0.7853166708806482,0.5315123665630765
119,2024-01-05 22:00:00,North,Fast,13,48.7,294.51,181.33,28.7,Low,22,Friday,January,2024-01-05,0,22.654615384615383,0.07394491724245165,1.1687175492841468,0.5118539700591297
120,2024-01-05 23:00:00,Central,Supercharger,2,88.6,242.02,233.9,69.4,Low,23,Friday,January,2024-01-05,0,121.01,-1.512060271523223,0.6384221050838926,-0.6518673208803767
121,2024-01-06 00:00:00,South,Supercharger,8,31.0,19.25,495.73,11.2,Low,0,Saturday,January,2024-01-06,1,2.40625,-0.6469665321964914,-1.6121764109094527,-1.0330504836816758
122,2024-01-06 01:00:00,Central,Normal,3,43.4,83.52,123.26,27.9,Low,1,Saturday,January,2024-01-06,1,27.84,-1.3678779816354343,-0.9628701011599698,-1.2058748294452486
123,2024-01-06 02:00:00,West,Fast,22,100.3,254.76,388.17,37.6,Medium,2,Saturday,January,2024-01-06,1,11.58,1.371585526232549,0.7671316489800868,1.129803975331564
124,2024-01-06 03:00:00,Central,Normal,20,20.7,219.76,54.83,47.2,High,3,Saturday,January,2024-01-06,1,10.988,1.0832209464569718,0.41353400091361875,0.8153461682396306
125,2024-01-06 04:00:00,South,Normal,13,95.6,279.26,466.54,48.7,Medium,4,Saturday,January,2024-01-06,1,21.48153846153846,0.07394491724245165,1.0146500026266145,0.45022695139611685
126,2024-01-06 05:00:00,West,Fast,24,118.0,204.31,60.08,35.6,Low,5,Saturday,January,2024-01-06,1,8.512916666666667,1.659950106008126,0.25744589626713515,1.0989484221117296
127,2024-01-06 06:00:00,North,Fast,5,93.6,232.72,307.95,63.9,Medium,6,Saturday,January,2024-01-06,1,46.544,-1.0795134018598571,0.5444661585976596,-0.42992157767685046
128,2024-01-06 07:00:00,South,Normal,24,99.5,324.26,62.56,23.1,Medium,7,Saturday,January,2024-01-06,1,13.510833333333332,1.659950106008126,1.4692755501406447,1.5836802836611334
129,2024-01-06 08:00:00,West,Normal,18,19.2,43.51,369.44,62.0,High,8,Saturday,January,2024-01-06,1,2.417222222222222,0.7948563666813946,-1.3670827268496668,-0.06991927073102999
130,2024-01-06 09:00:00,Central,Supercharger,22,24.0,33.89,482.55,69.2,Low,9,Saturday,January,2024-01-06,1,1.5404545454545455,1.371585526232549,-1.4642715661182213,0.2372426892922408
131,2024-01-06 10:00:00,North,Fast,10,65.6,337.79,461.51,78.9,Medium,10,Saturday,January,2024-01-06,1,33.779,-0.35860195242091414,1.6059662980931968,0.42722534778473026
132,2024-01-06 11:00:00,West,Fast,17,74.2,261.57,416.23,71.4,Low,11,Saturday,January,2024-01-06,1,15.386470588235294,0.650674076793606,0.8359316485038768,0.7247771054777143
133,2024-01-06 12:00:00,South,Normal,6,93.6,124.63,361.93,6.9,Low,12,Saturday,January,2024-01-06,1,20.771666666666665,-0.9353311119720685,-0.5475444065310413,-0.7802164297956576
134,2024-01-06 13:00:00,Central,Fast,9,43.4,225.88,191.07,70.2,Low,13,Saturday,January,2024-01-06,1,25.09777777777778,-0.5027842423087028,0.47536307537552697,-0.11152531523501086
135,2024-01-06 14:00:00,Central,Normal,21,17.9,238.93,116.15,21.6,Low,14,Saturday,January,2024-01-06,1,11.377619047619048,1.2274032363447605,0.6072044841545958,0.9793237354686947
136,2024-01-06 15:00:00,Central,Normal,14,58.6,22.76,347.49,43.4,Low,15,Saturday,January,2024-01-06,1,1.625714285714286,0.21812720713024025,-1.5767156182033584,-0.49980992300319926
137,2024-01-06 16:00:00,East,Normal,3,106.1,307.15,243.31,16.9,High,16,Saturday,January,2024-01-06,1,102.38333333333333,-1.3678779816354343,1.2964168141858656,-0.30216006330691425
138,2024-01-06 17:00:00,South,Fast,2,62.0,35.61,258.7,56.1,Low,17,Saturday,January,2024-01-06,1,17.805,-1.512060271523223,-1.446894767413241,-1.4859940698792302
139,2024-01-06 18:00:00,West,Fast,4,24.6,318.12,83.49,26.9,Medium,18,Saturday,January,2024-01-06,1,79.53,-1.2236956917476458,1.4072444198798417,-0.17131964709665082
140,2024-01-06 19:00:00,West,Fast,16,81.5,45.56,101.99,52.8,Low,19,Saturday,January,2024-01-06,1,2.8475,0.5064917869058174,-1.3463720074629164,-0.23465373084167618
141,2024-01-06 20:00:00,East,Normal,19,79.3,89.25,232.88,7.9,Low,20,Saturday,January,2024-01-06,1,4.697368421052632,0.9390386565691832,-0.9049811147765167,0.20143074803090316
142,2024-01-06 21:00:00,Central,Fast,9,65.9,138.7,187.42,5.9,Medium,21,Saturday,January,2024-01-06,1,15.41111111111111,-0.5027842423087028,-0.40539815200832124,-0.4638298061885502
143,2024-01-06 22:00:00,North,Supercharger,24,113.2,260.92,458.38,70.3,Medium,22,Saturday,January,2024-01-06,1,10.871666666666668,1.659950106008126,0.8293648350397854,1.3277159976207897
144,2024-01-06 23:00:00,West,Supercharger,2,112.8,207.34,187.34,17.5,Medium,23,Saturday,January,2024-01-06,1,103.67,-1.512060271523223,0.2880573497997465,-0.7920132229940351
